#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
38422at4891_2|ptg000014l:359564-360085 -            174 38422at4891          -            172   7.1e-57  189.6   8.6   1   1   6.5e-59   9.7e-57  189.2   8.6     8   172     8   172     1   172 0.84 -
28029at4891_2|ptg000008l:289470-290711 -            414 38422at4891          -            172   1.7e-13   48.4   6.8   1   2     1e-13   1.6e-11   42.0   6.2     8   110   125   230   118   267 0.68 -
28029at4891_2|ptg000008l:289470-290711 -            414 38422at4891          -            172   1.7e-13   48.4   6.8   2   2   9.4e-05     0.014   12.9   0.0    38   109   256   328   240   333 0.82 -
36258at4891_2|ptg000016l:81110-81493   -            128 38422at4891          -            172   4.5e-11   40.5   0.1   1   1   3.3e-13     5e-11   40.4   0.1    38   122    17   102     2   125 0.87 -
5280at4891_3|ptg000008l:101332-102666  -            445 38422at4891          -            172   5.5e-11   40.2   5.6   1   4   1.7e-05    0.0025   15.3   0.0    51    97     3    49     1    63 0.94 -
5280at4891_3|ptg000008l:101332-102666  -            445 38422at4891          -            172   5.5e-11   40.2   5.6   2   4       1.4   2.1e+02   -0.7   0.0    29    60    81   112    73   116 0.66 -
5280at4891_3|ptg000008l:101332-102666  -            445 38422at4891          -            172   5.5e-11   40.2   5.6   3   4    0.0033      0.49    7.9   0.3    89   135   186   232   154   251 0.77 -
5280at4891_3|ptg000008l:101332-102666  -            445 38422at4891          -            172   5.5e-11   40.2   5.6   4   4     6e-05    0.0089   13.5   0.1    44    84   341   386   335   429 0.78 -
30348at4891_1|ptg000008l:685781-686662 -            294 38422at4891          -            172   7.1e-11   39.9   0.0   1   1   7.8e-13   1.2e-10   39.2   0.0    43   153    12   125     2   136 0.83 -
5280at4891_0|ptg000015l:131641-132774  -            378 38422at4891          -            172   8.6e-11   39.6   7.3   1   3   3.5e-07   5.3e-05   20.8   0.8    51   127     3    78     1   102 0.82 -
5280at4891_0|ptg000015l:131641-132774  -            378 38422at4891          -            172   8.6e-11   39.6   7.3   2   3       7.4   1.1e+03   -3.0   0.0    90   102   127   139   124   159 0.66 -
5280at4891_0|ptg000015l:131641-132774  -            378 38422at4891          -            172   8.6e-11   39.6   7.3   3   3   9.2e-08   1.4e-05   22.7   0.1    43   121   197   274   174   324 0.86 -
30116at4891_2|ptg000014l:469341-470492 -            384 38422at4891          -            172   1.4e-10   39.0   3.7   1   2      0.22        33    1.9   3.0     9    69    64   127    56   170 0.69 -
30116at4891_2|ptg000014l:469341-470492 -            384 38422at4891          -            172   1.4e-10   39.0   3.7   2   2   1.7e-11   2.5e-09   34.8   0.0    33   102   205   274   176   278 0.84 -
21160at4891_3|ptg000002l:165019-165951 -            311 38422at4891          -            172   1.6e-09   35.5   0.1   1   3       4.8   7.2e+02   -2.4   0.1    92   104     1    14     1    16 0.71 -
21160at4891_3|ptg000002l:165019-165951 -            311 38422at4891          -            172   1.6e-09   35.5   0.1   2   3     1e-06   0.00015   19.3   0.0    51   152    65   169    56   179 0.77 -
21160at4891_3|ptg000002l:165019-165951 -            311 38422at4891          -            172   1.6e-09   35.5   0.1   3   3     7e-05      0.01   13.3   0.0    45    90   227   272   207   286 0.82 -
21155at4891_4|ptg000011l:246259-247635 -            459 38422at4891          -            172   5.6e-06   23.9   0.1   1   5       1.6   2.3e+02   -0.8   3.0    13    47    54    89    40    92 0.45 -
21155at4891_4|ptg000011l:246259-247635 -            459 38422at4891          -            172   5.6e-06   23.9   0.1   2   5       0.9   1.3e+02   -0.1   2.2     8    50    87   127    75   146 0.55 -
21155at4891_4|ptg000011l:246259-247635 -            459 38422at4891          -            172   5.6e-06   23.9   0.1   3   5      0.49        73    0.8   1.1   124   161   159   195   136   208 0.66 -
21155at4891_4|ptg000011l:246259-247635 -            459 38422at4891          -            172   5.6e-06   23.9   0.1   4   5   3.8e-08   5.6e-06   23.9   0.1    45    99   275   329   236   340 0.87 -
21155at4891_4|ptg000011l:246259-247635 -            459 38422at4891          -            172   5.6e-06   23.9   0.1   5   5         2     3e+02   -1.2   0.5   146   165   345   364   330   373 0.62 -
29886at4891_2|ptg000014l:53659-54597   -            313 38422at4891          -            172   9.6e-06   23.2   4.1   1   2         2     3e+02   -1.2   0.1    22    46     5    26     2    35 0.55 -
29886at4891_2|ptg000014l:53659-54597   -            313 38422at4891          -            172   9.6e-06   23.2   4.1   2   2   6.4e-08   9.6e-06   23.2   4.1     4   114    62   189    59   241 0.71 -
27342at4891_2|ptg000005l:200464-201279 -            272 38422at4891          -            172   1.3e-05   22.7   0.6   1   3       8.6   1.3e+03   -3.3   0.2   118   133    35    50    27    59 0.49 -
27342at4891_2|ptg000005l:200464-201279 -            272 38422at4891          -            172   1.3e-05   22.7   0.6   2   3      0.76   1.1e+02    0.2   0.0    72    88    74    90    71    96 0.81 -
27342at4891_2|ptg000005l:200464-201279 -            272 38422at4891          -            172   1.3e-05   22.7   0.6   3   3   6.4e-07   9.5e-05   19.9   0.0    71   105   213   248   176   268 0.79 -
5280at4891_2|ptg000001l:69617-70723    -            369 38422at4891          -            172   2.3e-05   21.9  13.8   1   4    0.0013      0.19    9.2   0.1    51   111     1    62     1    97 0.88 -
5280at4891_2|ptg000001l:69617-70723    -            369 38422at4891          -            172   2.3e-05   21.9  13.8   2   4       2.5   3.7e+02   -1.5   0.0    69   101   110   136   103   159 0.61 -
5280at4891_2|ptg000001l:69617-70723    -            369 38422at4891          -            172   2.3e-05   21.9  13.8   3   4   1.3e-06   0.00019   19.0   3.4    22   132   183   293   162   318 0.72 -
5280at4891_2|ptg000001l:69617-70723    -            369 38422at4891          -            172   2.3e-05   21.9  13.8   4   4       1.2   1.8e+02   -0.5   0.3    63   114   314   367   284   369 0.62 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/38422at4891.hmm
# Target file:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/38422at4891.out --cpu 1 /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/38422at4891.hmm /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas 
# Current dir:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly
# Date:            Wed Feb 21 15:52:45 2024
# [ok]
