#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
22313at4891_2|ptg000017l:455481-456446   -            322 22313at4891          -            251    2e-125  414.3  10.3   1   1  9.9e-125  7.8e-123  405.8  10.3     2   251    15   311    14   311 0.89 -
28186at4891_7|ptg000002l:401376-402227   -            284 22313at4891          -            251   1.8e-27   93.4   1.0   4   4   5.5e-11   4.3e-09   33.2   0.1   178   233   221   278   209   282 0.85 -
25148at4891_0|ptg000013l:361422-362216   -            265 22313at4891          -            251   2.4e-27   93.0   0.1   1   1   8.7e-28   6.8e-26   88.3   0.1    14   243     1   263     1   265 0.81 -
18954at4891_7|ptg000009l:145631-146521   -            297 22313at4891          -            251   3.1e-27   92.7   4.5   1   4   5.7e-06   0.00045   16.8   0.1    92   130     6    44     2    47 0.91 -
18954at4891_7|ptg000009l:145631-146521   -            297 22313at4891          -            251   3.1e-27   92.7   4.5   2   4   4.1e-05    0.0032   14.0   0.0   197   247    42    92    38    96 0.85 -
18954at4891_7|ptg000009l:145631-146521   -            297 22313at4891          -            251   3.1e-27   92.7   4.5   3   4   8.1e-11   6.4e-09   32.7   0.1   172   233   110   176    96   188 0.79 -
18954at4891_7|ptg000009l:145631-146521   -            297 22313at4891          -            251   3.1e-27   92.7   4.5   4   4   2.7e-09   2.2e-07   27.6   0.0   166   250   209   296   201   297 0.77 -
28186at4891_3|ptg000007l:359493-360305   -            271 22313at4891          -            251     1e-26   90.9   0.4   1   4   3.6e-05    0.0028   14.2   0.0    11    46     1    36     1    39 0.92 -
28186at4891_3|ptg000007l:359493-360305   -            271 22313at4891          -            251     1e-26   90.9   0.4   2   4   4.9e-09   3.8e-07   26.8   0.0   201   248    39    86    33    89 0.91 -
28186at4891_3|ptg000007l:359493-360305   -            271 22313at4891          -            251     1e-26   90.9   0.4   3   4   8.1e-05    0.0064   13.0   0.0   201   235   143   177   136   190 0.85 -
28186at4891_3|ptg000007l:359493-360305   -            271 22313at4891          -            251     1e-26   90.9   0.4   4   4   1.1e-10   8.5e-09   32.3   0.0   176   232   211   269   197   271 0.88 -
28186at4891_0|ptg000002l:643748-644623   -            292 22313at4891          -            251   5.6e-26   88.5   0.4   1   4   2.5e-05    0.0019   14.7   0.0    10    46     9    45     1    48 0.89 -
28186at4891_0|ptg000002l:643748-644623   -            292 22313at4891          -            251   5.6e-26   88.5   0.4   2   4   3.7e-08   2.9e-06   23.9   0.0   201   247    48    94    43    98 0.92 -
28186at4891_0|ptg000002l:643748-644623   -            292 22313at4891          -            251   5.6e-26   88.5   0.4   3   4   3.1e-05    0.0025   14.4   0.0   201   235   151   185   110   199 0.78 -
28186at4891_0|ptg000002l:643748-644623   -            292 22313at4891          -            251   5.6e-26   88.5   0.4   4   4   2.8e-10   2.2e-08   30.9   0.0   178   233   221   278   205   290 0.82 -
18954at4891_7|ptg000016l:101226-102230   -            335 22313at4891          -            251   9.9e-26   87.7   0.0   1   2   3.8e-09     3e-07   27.2   0.0   163   249    40   132    29   134 0.85 -
18954at4891_7|ptg000016l:101226-102230   -            335 22313at4891          -            251   9.9e-26   87.7   0.0   2   2   1.2e-17   9.6e-16   55.0   0.0    12   166   144   326   140   332 0.74 -
28186at4891_7|ptg000003l:355829-356806   -            326 22313at4891          -            251   2.4e-23   79.9   0.3   1   3   9.7e-11   7.6e-09   32.4   0.1    87   168    18   104    13   112 0.76 -
28186at4891_7|ptg000003l:355829-356806   -            326 22313at4891          -            251   2.4e-23   79.9   0.3   2   3   3.7e-06   0.00029   17.4   0.0     3   125   118   267   116   268 0.61 -
28186at4891_7|ptg000003l:355829-356806   -            326 22313at4891          -            251   2.4e-23   79.9   0.3   3   3   9.6e-09   7.6e-07   25.9   0.0   155   245   220   317   185   323 0.81 -
30869at4891_2|ptg000005l:1258080-1258979 -            300 22313at4891          -            251   2.7e-22   76.5   0.0   1   3   1.9e-06   0.00015   18.4   0.0    95   170     7    79     2    92 0.81 -
30869at4891_2|ptg000005l:1258080-1258979 -            300 22313at4891          -            251   2.7e-22   76.5   0.0   2   3   3.5e-07   2.7e-05   20.8   0.0   162   249   105   191    92   193 0.65 -
30869at4891_2|ptg000005l:1258080-1258979 -            300 22313at4891          -            251   2.7e-22   76.5   0.0   3   3   4.4e-11   3.4e-09   33.5   0.0     7    88   216   296   211   300 0.89 -
28982at4891_4|ptg000016l:348187-349101   -            305 22313at4891          -            251   8.5e-22   74.8   5.1   1   3   9.1e-06   0.00072   16.1   0.2    94   173     6    97     2   108 0.69 -
28982at4891_4|ptg000016l:348187-349101   -            305 22313at4891          -            251   8.5e-22   74.8   5.1   2   3   9.2e-12   7.3e-10   35.8   0.5    87   158   115   192   105   204 0.81 -
28982at4891_4|ptg000016l:348187-349101   -            305 22313at4891          -            251   8.5e-22   74.8   5.1   3   3   4.1e-08   3.2e-06   23.8   0.0   103   170   232   303   217   305 0.77 -
19275at4891_1|ptg000002l:29706-30533     -            276 22313at4891          -            251   1.4e-20   70.9   0.3   1   2   5.6e-12   4.4e-10   36.5   0.3    13   172     2   184     1   189 0.73 -
19275at4891_1|ptg000002l:29706-30533     -            276 22313at4891          -            251   1.4e-20   70.9   0.3   2   2   1.6e-10   1.3e-08   31.7   0.0     5    67   196   258   192   276 0.85 -
18807at4891_2|ptg000007l:571692-572783   -            364 22313at4891          -            251   3.2e-20   69.7   3.0   1   4   4.6e-07   3.6e-05   20.4   0.0    12   120    55   174    47   174 0.79 -
18807at4891_2|ptg000007l:571692-572783   -            364 22313at4891          -            251   3.2e-20   69.7   3.0   2   4   4.4e-08   3.5e-06   23.7   0.0    11    90   149   237   141   242 0.78 -
18807at4891_2|ptg000007l:571692-572783   -            364 22313at4891          -            251   3.2e-20   69.7   3.0   3   4   5.3e-05    0.0042   13.6   0.1    10    39   256   285   247   304 0.63 -
18807at4891_2|ptg000007l:571692-572783   -            364 22313at4891          -            251   3.2e-20   69.7   3.0   4   4   4.8e-05    0.0038   13.7   0.1   125   173   310   359   300   363 0.86 -
31279at4891_2|ptg000008l:419567-420493   -            309 22313at4891          -            251   4.9e-20   69.1   0.8   1   3   1.1e-14   8.8e-13   45.3   0.0     3   167     7   186     5   188 0.78 -
31279at4891_2|ptg000008l:419567-420493   -            309 22313at4891          -            251   4.9e-20   69.1   0.8   2   3   7.8e-10   6.1e-08   29.4   0.1     8   124   108   240   102   264 0.80 -
31279at4891_2|ptg000008l:419567-420493   -            309 22313at4891          -            251   4.9e-20   69.1   0.8   3   3    0.0014      0.11    8.9   0.1   130   170   264   304   253   307 0.63 -
18807at4891_3|ptg000001l:27934-28821     -            296 22313at4891          -            251   2.7e-19   66.7   4.8   1   3   9.1e-05    0.0072   12.8   0.0    11    40     7    36     3    47 0.91 -
18807at4891_3|ptg000001l:27934-28821     -            296 22313at4891          -            251   2.7e-19   66.7   4.8   2   3      0.21        17    1.8   0.0    95   123    98   127    89   136 0.73 -
18807at4891_3|ptg000001l:27934-28821     -            296 22313at4891          -            251   2.7e-19   66.7   4.8   3   3   1.4e-16   1.1e-14   51.6   1.5   130   247   164   294   138   296 0.83 -
22443at4891_4|ptg000006l:168487-169395   -            303 22313at4891          -            251   7.6e-19   65.2   0.1   1   3   1.6e-07   1.2e-05   21.9   0.0   172   231    14    73     1    94 0.62 -
22443at4891_4|ptg000006l:168487-169395   -            303 22313at4891          -            251   7.6e-19   65.2   0.1   2   3   1.7e-07   1.4e-05   21.8   0.0   164   248   104   187   100   190 0.93 -
22443at4891_4|ptg000006l:168487-169395   -            303 22313at4891          -            251   7.6e-19   65.2   0.1   3   3   2.1e-06   0.00017   18.2   0.0    91   165   206   283   195   291 0.53 -
18807at4891_3|ptg000006l:591591-592481   -            297 22313at4891          -            251   8.5e-19   65.0   0.6   1   2   1.3e-08   9.9e-07   25.5   0.1   169   246    27   106    16   112 0.65 -
18807at4891_3|ptg000006l:591591-592481   -            297 22313at4891          -            251   8.5e-19   65.0   0.6   2   2   2.3e-12   1.8e-10   37.7   0.1    11   159   126   290   117   297 0.77 -
25148at4891_6|ptg000002l:369437-370294   -            286 22313at4891          -            251   9.9e-19   64.8   0.6   1   2   1.8e-08   1.4e-06   25.0   0.1    97   172     1    77     1    99 0.89 -
25148at4891_6|ptg000002l:369437-370294   -            286 22313at4891          -            251   9.9e-19   64.8   0.6   2   2   4.2e-11   3.3e-09   33.6   0.0    96   248   108   284   102   286 0.75 -
30524at4891_4|ptg000011l:570910-571749   -            280 22313at4891          -            251   1.9e-18   63.9   8.8   1   2   3.4e-14   2.7e-12   43.7   1.3    11   169     5   182     1   191 0.76 -
30524at4891_4|ptg000011l:570910-571749   -            280 22313at4891          -            251   1.9e-18   63.9   8.8   2   2   1.5e-10   1.2e-08   31.8   1.1     3   166    90   275    88   280 0.74 -
25148at4891|ptg000011l:514274-515254     -            327 22313at4891          -            251   5.4e-18   62.4   4.6   1   2   5.8e-11   4.5e-09   33.1   3.3     7   174    35   224    28   227 0.71 -
25148at4891|ptg000011l:514274-515254     -            327 22313at4891          -            251   5.4e-18   62.4   4.6   2   2   7.6e-08     6e-06   22.9   0.0    95   156   243   306   230   322 0.81 -
21192at4891_4|ptg000008l:86993-88045     -            351 22313at4891          -            251   7.1e-18   62.0   0.1   1   4      0.14        11    2.4   0.0   172   199     8    35     2    44 0.66 -
21192at4891_4|ptg000008l:86993-88045     -            351 22313at4891          -            251   7.1e-18   62.0   0.1   2   4   1.6e-08   1.3e-06   25.1   0.0    40   165    90   235    85   251 0.73 -
21192at4891_4|ptg000008l:86993-88045     -            351 22313at4891          -            251   7.1e-18   62.0   0.1   3   4   0.00038      0.03   10.8   0.0     9   122   261   290   240   301 0.69 -
21192at4891_4|ptg000008l:86993-88045     -            351 22313at4891          -            251   7.1e-18   62.0   0.1   4   4   1.6e-09   1.2e-07   28.4   0.0   170   249   262   349   256   351 0.80 -
22443at4891_6|ptg000009l:259597-260451   -            285 22313at4891          -            251   1.1e-17   61.3   3.5   1   3   4.7e-08   3.7e-06   23.6   0.0    13    85    13    85     6    98 0.79 -
22443at4891_6|ptg000009l:259597-260451   -            285 22313at4891          -            251   1.1e-17   61.3   3.5   2   3   5.4e-06   0.00042   16.9   0.0   170   248   102   181    97   188 0.51 -
22443at4891_6|ptg000009l:259597-260451   -            285 22313at4891          -            251   1.1e-17   61.3   3.5   3   3   4.2e-07   3.3e-05   20.5   0.3    89   167   199   279   194   284 0.88 -
18807at4891|ptg000017l:140409-141215     -            269 22313at4891          -            251   1.3e-17   61.2   0.5   1   2   1.1e-07   8.6e-06   22.4   0.1   172   241     2    73     1    85 0.60 -
18807at4891|ptg000017l:140409-141215     -            269 22313at4891          -            251   1.3e-17   61.2   0.5   2   2     4e-12   3.2e-10   36.9   0.0    11   152    98   255    89   269 0.70 -
22538at4891_4|ptg000014l:304929-306545   -            539 22313at4891          -            251   1.8e-17   60.6   1.5   1   4     0.033       2.6    4.4   0.0     7    35   221   249   216   261 0.85 -
22538at4891_4|ptg000014l:304929-306545   -            539 22313at4891          -            251   1.8e-17   60.6   1.5   2   4     0.048       3.8    3.9   0.0   185   250   260   326   251   327 0.71 -
22538at4891_4|ptg000014l:304929-306545   -            539 22313at4891          -            251   1.8e-17   60.6   1.5   3   4   1.5e-09   1.2e-07   28.5   0.1     3   122   337   479   335   486 0.72 -
22538at4891_4|ptg000014l:304929-306545   -            539 22313at4891          -            251   1.8e-17   60.6   1.5   4   4   1.6e-05    0.0012   15.3   0.0   202   250   487   535   480   536 0.89 -
25148at4891_6|ptg000003l:265214-266029   -            272 22313at4891          -            251     3e-17   59.9   0.1   1   3     2e-07   1.5e-05   21.6   0.0    97   174     1    79     1    92 0.86 -
25148at4891_6|ptg000003l:265214-266029   -            272 22313at4891          -            251     3e-17   59.9   0.1   2   3   7.7e-06    0.0006   16.4   0.0    96   168    95   171    89   182 0.79 -
25148at4891_6|ptg000003l:265214-266029   -            272 22313at4891          -            251     3e-17   59.9   0.1   3   3   1.5e-06   0.00012   18.7   0.0   174   238   196   263   188   271 0.80 -
18510at4891_2|ptg000015l:100027-101022   -            332 22313at4891          -            251     5e-17   59.2   0.0   1   3   2.8e-05    0.0022   14.5   0.0    11    90    12    97     7   101 0.70 -
18510at4891_2|ptg000015l:100027-101022   -            332 22313at4891          -            251     5e-17   59.2   0.0   2   3    0.0002     0.016   11.7   0.0    10    56   110   156   100   165 0.89 -
18510at4891_2|ptg000015l:100027-101022   -            332 22313at4891          -            251     5e-17   59.2   0.0   3   3   1.1e-09   8.3e-08   29.0   0.0     6    91   238   330   233   332 0.85 -
27889at4891_8|ptg000014l:152116-152928   -            271 22313at4891          -            251   1.8e-16   57.4   3.0   1   2   9.5e-05    0.0075   12.8   0.3    92   167     4    70     1    83 0.81 -
27889at4891_8|ptg000014l:152116-152928   -            271 22313at4891          -            251   1.8e-16   57.4   3.0   2   2   5.8e-13   4.6e-11   39.7   0.2     4   170    90   269    87   271 0.83 -
22304at4891_6|ptg000005l:1401102-1402001 -            300 22313at4891          -            251   3.2e-15   53.3   0.0   1   3      0.36        29    1.0   0.0   170   205    13    48     7    55 0.82 -
22304at4891_6|ptg000005l:1401102-1402001 -            300 22313at4891          -            251   3.2e-15   53.3   0.0   2   3    0.0005      0.04   10.4   0.0   177   237   127   185   115   190 0.70 -
22304at4891_6|ptg000005l:1401102-1402001 -            300 22313at4891          -            251   3.2e-15   53.3   0.0   3   3   2.2e-12   1.7e-10   37.8   0.0   168   243   211   286   203   291 0.93 -
20960at4891_1|ptg000007l:730278-731201   -            308 22313at4891          -            251   1.2e-14   51.4   0.7   1   3   1.9e-05    0.0015   15.0   0.1    14   112    21   121     8   141 0.69 -
20960at4891_1|ptg000007l:730278-731201   -            308 22313at4891          -            251   1.2e-14   51.4   0.7   2   3   2.6e-07   2.1e-05   21.2   0.0    44    84   147   187   124   198 0.85 -
20960at4891_1|ptg000007l:730278-731201   -            308 22313at4891          -            251   1.2e-14   51.4   0.7   3   3   0.00012    0.0097   12.4   0.0    24    67   225   272   207   291 0.80 -
19275at4891_2|ptg000003l:147851-148522   -            224 22313at4891          -            251   1.8e-12   44.3   0.8   1   3     0.032       2.6    4.5   0.1   135   168     2    32     1    49 0.63 -
19275at4891_2|ptg000003l:147851-148522   -            224 22313at4891          -            251   1.8e-12   44.3   0.8   2   3   6.2e-06   0.00048   16.7   0.0    90   151    61   127    54   145 0.70 -
19275at4891_2|ptg000003l:147851-148522   -            224 22313at4891          -            251   1.8e-12   44.3   0.8   3   3   4.2e-07   3.3e-05   20.5   0.0     4    67   157   219   154   223 0.88 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/22313at4891.hmm
# Target file:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/22313at4891.out --cpu 1 /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/22313at4891.hmm /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas 
# Current dir:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly
# Date:            Wed Feb 21 15:52:42 2024
# [ok]
