#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
22304at4891_6|ptg000005l:1401102-1402001 -            300 22304at4891          -            256  1.8e-143  473.4   3.0   1   1  6.9e-145  5.4e-143  471.9   3.0     1   256     5   298     5   298 0.93 -
18807at4891_3|ptg000006l:591591-592481   -            297 22304at4891          -            256   4.6e-15   52.6   0.9   1   2   1.2e-13   9.7e-12   41.8   0.8    95   247    30   198    22   205 0.81 -
18807at4891_3|ptg000006l:591591-592481   -            297 22304at4891          -            256   4.6e-15   52.6   0.9   2   2    0.0032      0.25    7.6   0.0   176   214   217   255   208   295 0.63 -
27889at4891_8|ptg000014l:152116-152928   -            271 22304at4891          -            256   5.8e-15   52.3   1.5   1   2   5.4e-08   4.3e-06   23.3   0.2   103   221    17   143     4   149 0.76 -
27889at4891_8|ptg000014l:152116-152928   -            271 22304at4891          -            256   5.8e-15   52.3   1.5   2   2   1.3e-08     1e-06   25.3   0.1   136   232   147   251   143   262 0.70 -
18954at4891_7|ptg000009l:145631-146521   -            297 22304at4891          -            256   6.5e-15   52.2   1.3   1   3   7.1e-07   5.6e-05   19.6   0.0   179   244    14    88     3    92 0.69 -
18954at4891_7|ptg000009l:145631-146521   -            297 22304at4891          -            256   6.5e-15   52.2   1.3   2   3   3.2e-09   2.5e-07   27.3   0.1   128   233    54   175    41   189 0.79 -
18954at4891_7|ptg000009l:145631-146521   -            297 22304at4891          -            256   6.5e-15   52.2   1.3   3   3   2.4e-05    0.0019   14.6   0.0   169   241   208   286   193   294 0.80 -
30869at4891_2|ptg000005l:1258080-1258979 -            300 22304at4891          -            256   3.1e-14   49.9   0.4   1   3   0.00051      0.04   10.2   0.0   174   216     6    45     2    74 0.73 -
30869at4891_2|ptg000005l:1258080-1258979 -            300 22304at4891          -            256   3.1e-14   49.9   0.4   2   3   0.00068     0.054    9.8   0.0   170   236   109   177    75   196 0.74 -
30869at4891_2|ptg000005l:1258080-1258979 -            300 22304at4891          -            256   3.1e-14   49.9   0.4   3   3   4.3e-09   3.4e-07   26.9   0.2   169   232   214   279   204   299 0.85 -
25148at4891|ptg000011l:514274-515254     -            327 22304at4891          -            256   3.7e-14   49.7   6.0   1   3   1.1e-06   9.1e-05   18.9   0.4   173   242    37   117    32   132 0.79 -
25148at4891|ptg000011l:514274-515254     -            327 22304at4891          -            256   3.7e-14   49.7   6.0   2   3   5.4e-06   0.00043   16.7   0.2   172   243   142   213   138   222 0.87 -
25148at4891|ptg000011l:514274-515254     -            327 22304at4891          -            256   3.7e-14   49.7   6.0   3   3   4.4e-06   0.00035   17.0   0.0   146   239   201   309   200   325 0.63 -
18954at4891_7|ptg000016l:101226-102230   -            335 22304at4891          -            256   1.1e-13   48.2   0.1   1   3   1.9e-06   0.00015   18.2   0.0   175   244    45   126    27   142 0.72 -
18954at4891_7|ptg000016l:101226-102230   -            335 22304at4891          -            256   1.1e-13   48.2   0.1   2   3   1.4e-07   1.1e-05   21.9   0.0   132   233    96   213    92   223 0.80 -
18954at4891_7|ptg000016l:101226-102230   -            335 22304at4891          -            256   1.1e-13   48.2   0.1   3   3   0.00021     0.016   11.5   0.0   177   237   251   317   236   328 0.71 -
18807at4891_2|ptg000007l:571692-572783   -            364 22304at4891          -            256   4.1e-13   46.3   0.3   1   3   9.5e-11   7.5e-09   32.3   0.1   101   243    61   229    50   238 0.73 -
18807at4891_2|ptg000007l:571692-572783   -            364 22304at4891          -            256   4.1e-13   46.3   0.3   2   3    0.0018      0.14    8.4   0.0   183   203   265   285   253   298 0.75 -
18807at4891_2|ptg000007l:571692-572783   -            364 22304at4891          -            256   4.1e-13   46.3   0.3   3   3      0.17        13    2.0   0.0   211   236   317   342   307   357 0.82 -
22313at4891_2|ptg000017l:455481-456446   -            322 22304at4891          -            256   3.8e-12   43.1   1.8   1   3   0.00059     0.046   10.0   0.1   174   229    23    87    14   113 0.75 -
22313at4891_2|ptg000017l:455481-456446   -            322 22304at4891          -            256   3.8e-12   43.1   1.8   2   3    0.0021      0.17    8.2   0.1   183   236   138   201   122   217 0.66 -
22313at4891_2|ptg000017l:455481-456446   -            322 22304at4891          -            256   3.8e-12   43.1   1.8   3   3   1.8e-09   1.4e-07   28.1   0.1   114   244   162   303   158   313 0.73 -
25148at4891_0|ptg000013l:361422-362216   -            265 22304at4891          -            256     6e-12   42.4   0.1   1   2   8.9e-06    0.0007   16.0   0.0   104   230     9   155     1   182 0.65 -
25148at4891_0|ptg000013l:361422-362216   -            265 22304at4891          -            256     6e-12   42.4   0.1   2   2   1.6e-08   1.2e-06   25.0   0.0   175   241   192   260   134   265 0.76 -
22443at4891_6|ptg000009l:259597-260451   -            285 22304at4891          -            256   8.4e-12   41.9   0.3   1   2   1.9e-10   1.5e-08   31.3   0.0    94   242    11   174     4   188 0.75 -
22443at4891_6|ptg000009l:259597-260451   -            285 22304at4891          -            256   8.4e-12   41.9   0.3   2   2    0.0013       0.1    8.9   0.0   176   244   206   276   191   283 0.64 -
18807at4891|ptg000017l:140409-141215     -            269 22304at4891          -            256   1.3e-11   41.3   0.2   1   2   6.3e-09     5e-07   26.3   0.2    96   247     3   170     2   178 0.78 -
18807at4891|ptg000017l:140409-141215     -            269 22304at4891          -            256   1.3e-11   41.3   0.2   2   2   0.00055     0.043   10.1   0.0   178   241   191   264   179   268 0.71 -
22443at4891_4|ptg000006l:168487-169395   -            303 22304at4891          -            256   5.2e-11   39.4   5.3   1   2   3.4e-06   0.00027   17.4   0.1   168   242     6    83     2    93 0.80 -
22443at4891_4|ptg000006l:168487-169395   -            303 22304at4891          -            256   5.2e-11   39.4   5.3   2   2   1.8e-07   1.4e-05   21.6   3.8    67   247    78   285    75   290 0.71 -
19275at4891_2|ptg000003l:147851-148522   -            224 22304at4891          -            256   1.6e-10   37.7   2.1   1   2   1.3e-06    0.0001   18.7   0.1   169   240    60   137    32   149 0.75 -
19275at4891_2|ptg000003l:147851-148522   -            224 22304at4891          -            256   1.6e-10   37.7   2.1   2   2     2e-06   0.00016   18.1   0.1   172   231   161   222   156   224 0.90 -
28186at4891_7|ptg000002l:401376-402227   -            284 22304at4891          -            256   7.2e-10   35.6   0.6   1   3   0.00013      0.01   12.2   0.2   180   248    15    94     3   102 0.65 -
28186at4891_7|ptg000002l:401376-402227   -            284 22304at4891          -            256   7.2e-10   35.6   0.6   2   3    0.0013       0.1    8.9   0.0   166   243   104   192    97   203 0.62 -
28186at4891_7|ptg000002l:401376-402227   -            284 22304at4891          -            256   7.2e-10   35.6   0.6   3   3   0.00024     0.019   11.3   0.0   183   232   222   276   206   281 0.77 -
28982at4891_4|ptg000016l:348187-349101   -            305 22304at4891          -            256   1.1e-09   35.0   2.0   1   2   1.1e-06   8.9e-05   18.9   0.4   104   235    18   189     4   204 0.57 -
28982at4891_4|ptg000016l:348187-349101   -            305 22304at4891          -            256   1.1e-09   35.0   2.0   2   2   0.00049     0.038   10.3   0.1   180   246   229   299   215   304 0.79 -
28186at4891_0|ptg000002l:643748-644623   -            292 22304at4891          -            256   1.2e-09   34.8   0.0   1   3   0.00096     0.076    9.3   0.0   187   252    33    98     4   100 0.76 -
28186at4891_0|ptg000002l:643748-644623   -            292 22304at4891          -            256   1.2e-09   34.8   0.0   2   3   0.00041     0.032   10.6   0.0   162   247   100   196    95   203 0.70 -
28186at4891_0|ptg000002l:643748-644623   -            292 22304at4891          -            256   1.2e-09   34.8   0.0   3   3   0.00016     0.013   11.9   0.0   182   232   221   276   202   287 0.78 -
19275at4891_1|ptg000002l:29706-30533     -            276 22304at4891          -            256   6.5e-09   32.5   0.2   1   2     0.076         6    3.1   0.0   178   228     4    58     1    85 0.75 -
19275at4891_1|ptg000002l:29706-30533     -            276 22304at4891          -            256   6.5e-09   32.5   0.2   2   2   3.2e-09   2.5e-07   27.3   0.0   131   231   145   261    90   274 0.69 -
30524at4891_4|ptg000011l:570910-571749   -            280 22304at4891          -            256   1.4e-08   31.4   3.0   1   3     6e-06   0.00047   16.6   0.0   177   233     8    67     3    91 0.82 -
30524at4891_4|ptg000011l:570910-571749   -            280 22304at4891          -            256   1.4e-08   31.4   3.0   2   3     0.021       1.7    4.9   0.1   172   209    96   133    72   163 0.76 -
30524at4891_4|ptg000011l:570910-571749   -            280 22304at4891          -            256   1.4e-08   31.4   3.0   3   3    0.0021      0.17    8.2   0.3   106   157   218   271   160   277 0.72 -
28186at4891_3|ptg000007l:359493-360305   -            271 22304at4891          -            256   7.3e-08   29.0   0.0   1   3     0.002      0.16    8.3   0.0   201   246    38    83     3    92 0.77 -
28186at4891_3|ptg000007l:359493-360305   -            271 22304at4891          -            256   7.3e-08   29.0   0.0   2   3    0.0016      0.13    8.6   0.0   200   249   141   190    98   195 0.74 -
28186at4891_3|ptg000007l:359493-360305   -            271 22304at4891          -            256   7.3e-08   29.0   0.0   3   3    0.0013       0.1    8.9   0.0   184   228   215   264   183   269 0.75 -
21192at4891_4|ptg000008l:86993-88045     -            351 22304at4891          -            256   9.9e-08   28.6   0.9   1   3     0.019       1.5    5.1   0.0    91   119     7    33     2    41 0.74 -
21192at4891_4|ptg000008l:86993-88045     -            351 22304at4891          -            256   9.9e-08   28.6   0.9   2   3    0.0015      0.12    8.7   0.1   128   203    99   181    87   221 0.66 -
21192at4891_4|ptg000008l:86993-88045     -            351 22304at4891          -            256   9.9e-08   28.6   0.9   3   3   0.00013     0.011   12.1   0.0   136   237   211   336   169   349 0.67 -
28186at4891_7|ptg000003l:355829-356806   -            326 22304at4891          -            256   2.9e-07   27.1   0.2   1   2   8.1e-06   0.00064   16.1   0.1    96   206    28   159    10   217 0.66 -
28186at4891_7|ptg000003l:355829-356806   -            326 22304at4891          -            256   2.9e-07   27.1   0.2   2   2     0.002      0.16    8.3   0.0   169   242   228   313   188   322 0.66 -
18510at4891_2|ptg000015l:100027-101022   -            332 22304at4891          -            256   3.7e-06   23.4   0.1   1   3    0.0033      0.26    7.6   0.0   178   243    16    89     6   106 0.65 -
18510at4891_2|ptg000015l:100027-101022   -            332 22304at4891          -            256   3.7e-06   23.4   0.1   2   3     0.059       4.6    3.5   0.0     9    37   110   138   102   168 0.50 -
18510at4891_2|ptg000015l:100027-101022   -            332 22304at4891          -            256   3.7e-06   23.4   0.1   3   3    0.0021      0.16    8.2   0.0   176   244   244   322   233   330 0.74 -
22538at4891_4|ptg000014l:304929-306545   -            539 22304at4891          -            256     7e-06   22.6   0.1   1   1   2.4e-06   0.00019   17.9   0.1    93   243   344   527   298   537 0.66 -
18807at4891_3|ptg000001l:27934-28821     -            296 22304at4891          -            256   2.8e-05   20.6   2.3   1   3       3.6   2.8e+02   -2.4   0.0   190   211    22    43     5    80 0.56 -
18807at4891_3|ptg000001l:27934-28821     -            296 22304at4891          -            256   2.8e-05   20.6   2.3   2   3       1.1        83   -0.6   0.0   206   232   161   187   139   215 0.81 -
18807at4891_3|ptg000001l:27934-28821     -            296 22304at4891          -            256   2.8e-05   20.6   2.3   3   3   6.9e-07   5.5e-05   19.6   0.7   167   237   206   283   176   294 0.64 -
20960at4891_1|ptg000007l:730278-731201   -            308 22304at4891          -            256   0.00013   18.4   0.2   1   3    0.0003     0.023   11.0   0.0   183   231    26    74     8    98 0.72 -
20960at4891_1|ptg000007l:730278-731201   -            308 22304at4891          -            256   0.00013   18.4   0.2   2   3      0.17        13    2.0   0.1   205   228   147   170    73   179 0.67 -
20960at4891_1|ptg000007l:730278-731201   -            308 22304at4891          -            256   0.00013   18.4   0.2   3   3      0.15        12    2.1   0.0   190   234   227   278   211   300 0.61 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/22304at4891.hmm
# Target file:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/22304at4891.out --cpu 1 /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/22304at4891.hmm /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas 
# Current dir:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly
# Date:            Wed Feb 21 15:52:42 2024
# [ok]
