#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
5963at4891_6|ptg000013l:249549-251420  -            624 5963at4891           -            502    1e-247  819.8   8.9   1   1  1.3e-247  2.3e-245  812.1   8.9     2   502    16   624    15   624 0.89 -
7621at4891_7|ptg000005l:715242-717281  -            680 5963at4891           -            502   1.4e-05   21.0   0.0   2   2    0.0062       1.1    4.9   0.0    43   130   308   405   304   414 0.72 -
6437at4891_2|ptg000011l:273165-275072  -            636 5963at4891           -            502   4.1e-05   19.5   0.8   1   3   2.3e-07   4.1e-05   19.5   0.8    14   130   108   218    99   246 0.79 -
6437at4891_2|ptg000011l:273165-275072  -            636 5963at4891           -            502   4.1e-05   19.5   0.8   2   3     0.032       5.7    2.5   0.4   137   195   253   323   230   334 0.70 -
6437at4891_2|ptg000011l:273165-275072  -            636 5963at4891           -            502   4.1e-05   19.5   0.8   3   3       1.1   1.9e+02   -2.5   0.2   415   459   362   406   357   413 0.83 -
6624at4891_2|ptg000009l:206423-208003  -            527 5963at4891           -            502   0.00028   16.8   0.3   1   2     0.022         4    3.1   0.1    13    57   102   139    92   150 0.71 -
6624at4891_2|ptg000009l:206423-208003  -            527 5963at4891           -            502   0.00028   16.8   0.3   2   2     5e-05    0.0089   11.8   0.0    68   162   189   284   170   307 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/5963at4891.hmm
# Target file:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/5963at4891.out --cpu 1 /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/busco_downloads/lineages/saccharomycetes_odb10/hmms/5963at4891.hmm /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly/BUSCO_SRR.asm.bp.p_ctg.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR.asm.bp.p_ctg.fasta.modified.fas 
# Current dir:     /home/inf-39-2023/bin/BINP29/Denovo/2_Assembly
# Date:            Wed Feb 21 15:52:46 2024
# [ok]
