#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17712at4891_2|ptg000007l:63625-65004     -            460 17712at4891          -            341  1.5e-124  412.6   0.1   1   1    2e-124  7.6e-123  407.1   0.1     1   331     1   407     1   417 0.80 -
4206at4891_2|ptg000010l:112406-115159    -            918 17712at4891          -            341   3.8e-27   92.4  18.7   8   8      0.57        21    1.2   0.0    58    88   681   710   673   729 0.79 -
16921at4891_9|ptg000010l:93758-94756     -            333 17712at4891          -            341   3.3e-25   86.0   5.7   1   4   9.7e-07   3.6e-05   20.1   0.0   112   152     9    57     3    61 0.70 -
16921at4891_9|ptg000010l:93758-94756     -            333 17712at4891          -            341   3.3e-25   86.0   5.7   2   4   7.6e-06   0.00029   17.2   0.1    23    87    66   127    56   139 0.89 -
16921at4891_9|ptg000010l:93758-94756     -            333 17712at4891          -            341   3.3e-25   86.0   5.7   3   4   2.6e-12   9.9e-11   38.4   0.1    24   139   190   294   185   299 0.89 -
16921at4891_9|ptg000010l:93758-94756     -            333 17712at4891          -            341   3.3e-25   86.0   5.7   4   4   4.8e-08   1.8e-06   24.4   0.2    46   134   253   331   251   333 0.88 -
20201at4891_2|ptg000005l:522101-523066   -            322 17712at4891          -            341     3e-24   82.9  14.4   1   4   1.6e-18   6.1e-17   58.8   1.7    15   165    12   173     7   174 0.87 -
20201at4891_2|ptg000005l:522101-523066   -            322 17712at4891          -            341     3e-24   82.9  14.4   2   4   8.2e-08   3.1e-06   23.6   2.2    32   134   171   273   170   281 0.80 -
20201at4891_2|ptg000005l:522101-523066   -            322 17712at4891          -            341     3e-24   82.9  14.4   3   4      0.26       9.9    2.3   0.1    68    93   259   284   246   300 0.65 -
20201at4891_2|ptg000005l:522101-523066   -            322 17712at4891          -            341     3e-24   82.9  14.4   4   4    0.0057      0.21    7.7   0.1    58    83   295   322   288   322 0.77 -
14374at4891_0|ptg000013l:94204-95049     -            282 17712at4891          -            341   6.1e-23   78.6   3.7   1   3   4.1e-10   1.6e-08   31.2   0.0    24    87    15    80    12    89 0.89 -
14374at4891_0|ptg000013l:94204-95049     -            282 17712at4891          -            341   6.1e-23   78.6   3.7   2   3    0.0019     0.072    9.3   0.0   290   327    87   126    81   135 0.83 -
14374at4891_0|ptg000013l:94204-95049     -            282 17712at4891          -            341   6.1e-23   78.6   3.7   3   3   8.2e-11   3.1e-09   33.5   1.4    24   135   164   275   159   279 0.82 -
2851at4891_2|ptg000013l:113953-116400    -            816 17712at4891          -            341     1e-21   74.5  12.8   1   8     0.067       2.5    4.2   0.0   100   138    55    92    16    99 0.68 -
2851at4891_2|ptg000013l:113953-116400    -            816 17712at4891          -            341     1e-21   74.5  12.8   2   8       2.7     1e+02   -1.1   0.0    64    86   111   133    99   151 0.80 -
2851at4891_2|ptg000013l:113953-116400    -            816 17712at4891          -            341     1e-21   74.5  12.8   3   8     0.025      0.96    5.6   0.1    29    88   164   229   146   248 0.68 -
2851at4891_2|ptg000013l:113953-116400    -            816 17712at4891          -            341     1e-21   74.5  12.8   4   8      0.39        15    1.7   0.0    25    83   210   271   206   284 0.74 -
2851at4891_2|ptg000013l:113953-116400    -            816 17712at4891          -            341     1e-21   74.5  12.8   5   8     0.092       3.5    3.7   0.1    53    89   386   422   383   439 0.86 -
2851at4891_2|ptg000013l:113953-116400    -            816 17712at4891          -            341     1e-21   74.5  12.8   6   8   0.00037     0.014   11.6   0.0    26    87   454   523   444   536 0.63 -
2851at4891_2|ptg000013l:113953-116400    -            816 17712at4891          -            341     1e-21   74.5  12.8   7   8   1.1e-11   4.2e-10   36.4   0.1    20    85   542   605   531   609 0.90 -
2851at4891_2|ptg000013l:113953-116400    -            816 17712at4891          -            341     1e-21   74.5  12.8   8   8    0.0001    0.0038   13.5   0.2    46   137   608   698   604   704 0.76 -
665at4891_4|ptg000005l:1307495-1311091   -           1199 17712at4891          -            341   6.5e-21   71.9   5.4   1   4   3.2e-12   1.2e-10   38.2   0.2    14   144    53   174    43   179 0.82 -
665at4891_4|ptg000005l:1307495-1311091   -           1199 17712at4891          -            341   6.5e-21   71.9   5.4   2   4   6.1e-05    0.0023   14.2   0.0    51    89   205   243   200   250 0.89 -
665at4891_4|ptg000005l:1307495-1311091   -           1199 17712at4891          -            341   6.5e-21   71.9   5.4   3   4   2.4e-08     9e-07   25.4   0.1    27    97   225   296   222   300 0.88 -
665at4891_4|ptg000005l:1307495-1311091   -           1199 17712at4891          -            341   6.5e-21   71.9   5.4   4   4     0.037       1.4    5.1   0.2   273   337   473   535   413   549 0.62 -
4490at4891_2|ptg000008l:192003-194357    -            785 17712at4891          -            341     9e-20   68.2   6.0   1   6   2.1e-07   7.9e-06   22.3   0.1    21   139    24   134    14   138 0.74 -
4490at4891_2|ptg000008l:192003-194357    -            785 17712at4891          -            341     9e-20   68.2   6.0   2   6   4.9e-05    0.0018   14.5   0.0    27    97    75   143    74   175 0.85 -
4490at4891_2|ptg000008l:192003-194357    -            785 17712at4891          -            341     9e-20   68.2   6.0   3   6      0.24       9.2    2.4   0.1    44    96   191   244   161   313 0.71 -
4490at4891_2|ptg000008l:192003-194357    -            785 17712at4891          -            341     9e-20   68.2   6.0   4   6   3.2e-06   0.00012   18.4   0.0   104   135   382   413   345   421 0.72 -
4490at4891_2|ptg000008l:192003-194357    -            785 17712at4891          -            341     9e-20   68.2   6.0   5   6   4.2e-06   0.00016   18.0   0.1    48   145   599   693   570   694 0.82 -
4490at4891_2|ptg000008l:192003-194357    -            785 17712at4891          -            341     9e-20   68.2   6.0   6   6   5.9e-05    0.0022   14.2   0.1    20   135   664   784   654   785 0.74 -
3606at4891_2|ptg000002l:201554-203944    -            797 17712at4891          -            341   8.4e-19   65.0   1.5   1   2   2.9e-11   1.1e-09   35.0   0.1    50   169   461   594   454   601 0.75 -
3606at4891_2|ptg000002l:201554-203944    -            797 17712at4891          -            341   8.4e-19   65.0   1.5   2   2   8.5e-09   3.2e-07   26.9   0.0    26   139   624   726   612   731 0.85 -
15960at4891_0|ptg000014l:156967-157878   -            304 17712at4891          -            341   1.4e-18   64.2   4.3   1   4    0.0064      0.24    7.6   0.0    26    74     6    52     2    53 0.86 -
15960at4891_0|ptg000014l:156967-157878   -            304 17712at4891          -            341   1.4e-18   64.2   4.3   2   4     3e-08   1.1e-06   25.1   0.1    20    87    41   108    28   124 0.85 -
15960at4891_0|ptg000014l:156967-157878   -            304 17712at4891          -            341   1.4e-18   64.2   4.3   3   4     1e-07   3.8e-06   23.3   0.1    23   136   129   237   109   238 0.80 -
15960at4891_0|ptg000014l:156967-157878   -            304 17712at4891          -            341   1.4e-18   64.2   4.3   4   4   7.5e-08   2.8e-06   23.8   0.3    24    93   221   290   212   297 0.86 -
16921at4891_8|ptg000010l:74467-75159     -            231 17712at4891          -            341   1.5e-18   64.2   0.1   1   3   8.7e-05    0.0033   13.7   0.0   111   147     2    38     1    42 0.84 -
16921at4891_8|ptg000010l:74467-75159     -            231 17712at4891          -            341   1.5e-18   64.2   0.1   2   3   1.2e-13   4.4e-12   42.9   0.1    11   141    39   165    32   169 0.78 -
16921at4891_8|ptg000010l:74467-75159     -            231 17712at4891          -            341   1.5e-18   64.2   0.1   3   3     0.025      0.93    5.6   0.0   135   167   178   210   173   217 0.89 -
3060at4891_2|ptg000004l:379350-382178    -            943 17712at4891          -            341   2.6e-17   60.1  16.8   1   6   6.4e-06   0.00024   17.4   1.1    26    87    94   153    87   200 0.76 -
3060at4891_2|ptg000004l:379350-382178    -            943 17712at4891          -            341   2.6e-17   60.1  16.8   2   6    0.0076      0.29    7.3   0.1    25    46   216   237   208   300 0.73 -
3060at4891_2|ptg000004l:379350-382178    -            943 17712at4891          -            341   2.6e-17   60.1  16.8   3   6       1.6        60   -0.3   0.0    54    87   390   422   382   435 0.70 -
3060at4891_2|ptg000004l:379350-382178    -            943 17712at4891          -            341   2.6e-17   60.1  16.8   4   6    0.0037      0.14    8.4   0.0   275   328   453   506   413   521 0.66 -
3060at4891_2|ptg000004l:379350-382178    -            943 17712at4891          -            341   2.6e-17   60.1  16.8   5   6     0.012      0.47    6.6   0.0   107   136   531   560   512   567 0.84 -
3060at4891_2|ptg000004l:379350-382178    -            943 17712at4891          -            341   2.6e-17   60.1  16.8   6   6   3.8e-08   1.5e-06   24.7   0.8     6   135   567   685   561   693 0.83 -
17074at4891_2|ptg000003l:52077-53465     -            463 17712at4891          -            341   2.9e-17   59.9   0.7   1   3     0.017      0.62    6.2   0.0   266   320   187   243   144   251 0.71 -
17074at4891_2|ptg000003l:52077-53465     -            463 17712at4891          -            341   2.9e-17   59.9   0.7   2   3   2.5e-06   9.3e-05   18.8   0.0    44   138   253   337   239   346 0.84 -
17074at4891_2|ptg000003l:52077-53465     -            463 17712at4891          -            341   2.9e-17   59.9   0.7   3   3   2.5e-10   9.6e-09   31.9   0.3    11   133   347   462   338   463 0.82 -
6943at4891_4|ptg000004l:113013-114467    -            485 17712at4891          -            341   1.1e-16   58.0   6.7   1   3    0.0013     0.047    9.9   0.1    24    99    81   165    64   175 0.65 -
6943at4891_4|ptg000004l:113013-114467    -            485 17712at4891          -            341   1.1e-16   58.0   6.7   2   3   5.5e-12   2.1e-10   37.4   0.9    21   177   189   340   180   353 0.81 -
6943at4891_4|ptg000004l:113013-114467    -            485 17712at4891          -            341   1.1e-16   58.0   6.7   3   3   0.00012    0.0047   13.2   0.1    53   100   346   393   343   414 0.78 -
8998at4891_7|ptg000014l:735866-737215    -            450 17712at4891          -            341   8.8e-16   55.0   2.9   1   3   7.7e-11   2.9e-09   33.6   2.0    36   151   103   206    90   210 0.86 -
8998at4891_7|ptg000014l:735866-737215    -            450 17712at4891          -            341   8.8e-16   55.0   2.9   2   3   4.7e-05    0.0018   14.6   0.0    26   166   219   359   207   361 0.75 -
8998at4891_7|ptg000014l:735866-737215    -            450 17712at4891          -            341   8.8e-16   55.0   2.9   3   3    0.0061      0.23    7.6   0.0    53    89   333   369   325   384 0.84 -
16921at4891_7|ptg000002l:236728-237624   -            299 17712at4891          -            341   3.5e-15   53.0   0.4   1   2   8.7e-05    0.0033   13.7   0.0   269   324    14    69     6    76 0.68 -
16921at4891_7|ptg000002l:236728-237624   -            299 17712at4891          -            341   3.5e-15   53.0   0.4   2   2   7.1e-12   2.7e-10   37.0   0.1    14   136    81   203    72   225 0.86 -
2531at4891_2|ptg000007l:345809-348142    -            778 17712at4891          -            341   3.4e-14   49.8   0.0   1   3   2.2e-06   8.4e-05   18.9   0.0    53   121   406   470   399   489 0.78 -
2531at4891_2|ptg000007l:345809-348142    -            778 17712at4891          -            341   3.4e-14   49.8   0.0   2   3       4.2   1.6e+02   -1.7   0.0   108   129   566   587   542   614 0.59 -
2531at4891_2|ptg000007l:345809-348142    -            778 17712at4891          -            341   3.4e-14   49.8   0.0   3   3   5.7e-09   2.1e-07   27.5   0.0    32   134   672   776   659   778 0.79 -
14374at4891_2|ptg000008l:788546-789586   -            347 17712at4891          -            341   5.3e-14   49.2   0.6   1   4   1.3e-05   0.00049   16.4   0.1    24   135    22   138     8   145 0.74 -
14374at4891_2|ptg000008l:788546-789586   -            347 17712at4891          -            341   5.3e-14   49.2   0.6   2   4      0.53        20    1.3   0.0    48    86   101   141    92   176 0.80 -
14374at4891_2|ptg000008l:788546-789586   -            347 17712at4891          -            341   5.3e-14   49.2   0.6   3   4     0.028       1.1    5.4   0.0   107   138   212   247   183   253 0.81 -
14374at4891_2|ptg000008l:788546-789586   -            347 17712at4891          -            341   5.3e-14   49.2   0.6   4   4   1.2e-07   4.6e-06   23.1   0.1    44    87   293   336   286   344 0.89 -
15470at4891_1|ptg000007l:535847-536884   -            346 17712at4891          -            341   1.2e-13   48.0   0.3   1   3   6.2e-05    0.0023   14.2   0.0    50   137     5    82     3    91 0.86 -
15470at4891_1|ptg000007l:535847-536884   -            346 17712at4891          -            341   1.2e-13   48.0   0.3   2   3   4.3e-06   0.00016   18.0   0.1   203   332    97   233    91   241 0.75 -
15470at4891_1|ptg000007l:535847-536884   -            346 17712at4891          -            341   1.2e-13   48.0   0.3   3   3    0.0003     0.011   11.9   0.0    51   104   289   342   283   346 0.76 -
17077at4891_7|ptg000003l:672388-673722   -            445 17712at4891          -            341   3.7e-13   46.4   0.7   1   5     0.024       0.9    5.7   0.0   138   179   129   171   124   192 0.82 -
17077at4891_7|ptg000003l:672388-673722   -            445 17712at4891          -            341   3.7e-13   46.4   0.7   2   5   0.00031     0.012   11.9   0.0    26    88   149   209   143   215 0.87 -
17077at4891_7|ptg000003l:672388-673722   -            445 17712at4891          -            341   3.7e-13   46.4   0.7   3   5   1.4e-05   0.00052   16.3   0.0    24    87   189   250   180   259 0.88 -
17077at4891_7|ptg000003l:672388-673722   -            445 17712at4891          -            341   3.7e-13   46.4   0.7   4   5    0.0018     0.067    9.4   0.0    21    77   270   324   253   343 0.81 -
17077at4891_7|ptg000003l:672388-673722   -            445 17712at4891          -            341   3.7e-13   46.4   0.7   5   5   0.00072     0.027   10.7   0.0    54   153   343   439   323   441 0.67 -
7896at4891_2|ptg000007l:423728-425572    -            615 17712at4891          -            341     6e-13   45.7   3.1   1   5    0.0062      0.24    7.6   0.0    56   124    65   133    37   145 0.73 -
7896at4891_2|ptg000007l:423728-425572    -            615 17712at4891          -            341     6e-13   45.7   3.1   2   5     8e-05     0.003   13.8   0.0    48   145   153   245   144   254 0.79 -
7896at4891_2|ptg000007l:423728-425572    -            615 17712at4891          -            341     6e-13   45.7   3.1   3   5    0.0056      0.21    7.8   0.2    23    62   264   306   244   331 0.69 -
7896at4891_2|ptg000007l:423728-425572    -            615 17712at4891          -            341     6e-13   45.7   3.1   4   5     0.068       2.6    4.2   0.1    46   116   330   392   311   402 0.77 -
7896at4891_2|ptg000007l:423728-425572    -            615 17712at4891          -            341     6e-13   45.7   3.1   5   5    0.0053       0.2    7.8   0.1    62   167   495   608   451   614 0.60 -
16921at4891_6|ptg000016l:181899-182717   -            273 17712at4891          -            341   1.6e-12   44.4   2.6   1   4     0.063       2.4    4.3   0.0    56    83    27    52     1    63 0.54 -
16921at4891_6|ptg000016l:181899-182717   -            273 17712at4891          -            341   1.6e-12   44.4   2.6   2   4   1.9e-05   0.00071   15.9   0.2    23    86    36    95    21    98 0.80 -
16921at4891_6|ptg000016l:181899-182717   -            273 17712at4891          -            341   1.6e-12   44.4   2.6   3   4   5.6e-10   2.1e-08   30.8   0.1    14    88    66   138    57   161 0.82 -
16921at4891_6|ptg000016l:181899-182717   -            273 17712at4891          -            341   1.6e-12   44.4   2.6   4   4    0.0056      0.21    7.8   0.0    24    86   207   265   201   273 0.75 -
17077at4891_3|ptg000008l:811332-812174   -            281 17712at4891          -            341   1.5e-11   41.1   1.6   1   3     0.017      0.66    6.1   0.1   107   138    22    53     4    62 0.80 -
17077at4891_3|ptg000008l:811332-812174   -            281 17712at4891          -            341   1.5e-11   41.1   1.6   2   3   5.2e-07     2e-05   21.0   0.1    27   124    79   165    66   182 0.76 -
17077at4891_3|ptg000008l:811332-812174   -            281 17712at4891          -            341   1.5e-11   41.1   1.6   3   3   0.00038     0.014   11.6   0.0     7    84   197   275   192   280 0.86 -
1495at4891_2|ptg000005l:1394636-1398445  -           1270 17712at4891          -            341     2e-11   40.7   3.9   1   3      0.18       6.7    2.8   0.1   105   137    60    92    28    97 0.54 -
1495at4891_2|ptg000005l:1394636-1398445  -           1270 17712at4891          -            341     2e-11   40.7   3.9   2   3   5.8e-09   2.2e-07   27.4   0.2    43   139    96   193    92   200 0.77 -
1495at4891_2|ptg000005l:1394636-1398445  -           1270 17712at4891          -            341     2e-11   40.7   3.9   3   3   0.00018    0.0068   12.7   0.2    24   140   174   291   170   356 0.69 -
11696at4891_2|ptg000007l:511519-513051   -            511 17712at4891          -            341     3e-11   40.2   2.2   1   3       1.1        41    0.2   0.0    71   133   230   299   212   311 0.48 -
11696at4891_2|ptg000007l:511519-513051   -            511 17712at4891          -            341     3e-11   40.2   2.2   2   3   1.2e-11   4.3e-10   36.3   1.8    24   144   335   455   319   465 0.81 -
11696at4891_2|ptg000007l:511519-513051   -            511 17712at4891          -            341     3e-11   40.2   2.2   3   3   0.00023    0.0087   12.3   0.1    45   105   407   467   399   503 0.66 -
10099at4891_3|ptg000011l:404260-405939   -            560 17712at4891          -            341   4.3e-11   39.6   0.2   1   1   1.9e-12   7.1e-11   38.9   0.2   132   325    21   218     6   228 0.74 -
6943at4891_1|ptg000002l:208627-209445    -            273 17712at4891          -            341   6.4e-11   39.1   4.8   1   3     0.028       1.1    5.4   0.4    96   143    46    93     1    99 0.77 -
6943at4891_1|ptg000002l:208627-209445    -            273 17712at4891          -            341   6.4e-11   39.1   4.8   2   3     0.095       3.6    3.7   0.0    72   138    74   139    70   146 0.64 -
6943at4891_1|ptg000002l:208627-209445    -            273 17712at4891          -            341   6.4e-11   39.1   4.8   3   3   6.8e-11   2.5e-09   33.8   0.2    32   170   129   269   119   272 0.75 -
16305at4891_3|ptg000002l:370765-372369   -            535 17712at4891          -            341   8.4e-11   38.7   7.2   1   5       1.8        69   -0.5   0.1   101   137   151   188   111   197 0.55 -
16305at4891_3|ptg000002l:370765-372369   -            535 17712at4891          -            341   8.4e-11   38.7   7.2   2   5     0.043       1.6    4.8   0.0   105   135   218   248   207   256 0.83 -
16305at4891_3|ptg000002l:370765-372369   -            535 17712at4891          -            341   8.4e-11   38.7   7.2   3   5     0.011      0.41    6.8   0.1    47    86   253   292   244   350 0.52 -
16305at4891_3|ptg000002l:370765-372369   -            535 17712at4891          -            341   8.4e-11   38.7   7.2   4   5   6.1e-08   2.3e-06   24.1   0.0    50   138   354   431   341   444 0.82 -
16305at4891_3|ptg000002l:370765-372369   -            535 17712at4891          -            341   8.4e-11   38.7   7.2   5   5   0.00084     0.032   10.5   0.1    11   124   400   523   393   533 0.69 -
11568at4891_2|ptg000017l:275223-276446   -            408 17712at4891          -            341   1.7e-10   37.6   4.7   1   5     0.042       1.6    4.9   0.0   119   140    56    77    43   107 0.67 -
11568at4891_2|ptg000017l:275223-276446   -            408 17712at4891          -            341   1.7e-10   37.6   4.7   2   5   3.1e-07   1.2e-05   21.7   0.4    25    86   115   174   108   189 0.90 -
11568at4891_2|ptg000017l:275223-276446   -            408 17712at4891          -            341   1.7e-10   37.6   4.7   3   5         1        38    0.3   0.0   268   287   203   222   199   238 0.86 -
11568at4891_2|ptg000017l:275223-276446   -            408 17712at4891          -            341   1.7e-10   37.6   4.7   4   5       1.7        66   -0.4   0.0    64   103   243   282   238   290 0.61 -
11568at4891_2|ptg000017l:275223-276446   -            408 17712at4891          -            341   1.7e-10   37.6   4.7   5   5    0.0093      0.35    7.0   0.1    51    87   290   328   280   339 0.68 -
28907at4891_2|ptg000003l:856309-857265   -            319 17712at4891          -            341   2.1e-09   34.0   0.7   1   4      0.29        11    2.1   0.1   109   327    42    73    30    80 0.50 -
28907at4891_2|ptg000003l:856309-857265   -            319 17712at4891          -            341   2.1e-09   34.0   0.7   2   4    0.0015     0.056    9.6   0.1    32    86    62   116    54   125 0.72 -
28907at4891_2|ptg000003l:856309-857265   -            319 17712at4891          -            341   2.1e-09   34.0   0.7   3   4   1.6e-05   0.00061   16.1   0.0    48    88   184   225   160   241 0.78 -
28907at4891_2|ptg000003l:856309-857265   -            319 17712at4891          -            341   2.1e-09   34.0   0.7   4   4      0.12       4.7    3.3   0.0    89   118   272   301   265   310 0.79 -
17074at4891_6|ptg000008l:609575-610285   -            237 17712at4891          -            341   2.3e-09   33.9   1.9   1   3      0.12       4.7    3.3   0.0   112   140     2    30     1    66 0.72 -
17074at4891_6|ptg000008l:609575-610285   -            237 17712at4891          -            341   2.3e-09   33.9   1.9   2   3   1.7e-08   6.3e-07   25.9   0.4    68   185    50   165    30   180 0.63 -
17074at4891_6|ptg000008l:609575-610285   -            237 17712at4891          -            341   2.3e-09   33.9   1.9   3   3      0.49        19    1.4   0.0   276   312   192   227   188   236 0.75 -
29122at4891_2|ptg000011l:738372-739637   -            422 17712at4891          -            341   3.6e-09   33.3   1.5   1   4   0.00038     0.014   11.6   0.0   284   319    82   116    47   130 0.74 -
29122at4891_2|ptg000011l:738372-739637   -            422 17712at4891          -            341   3.6e-09   33.3   1.5   2   4   2.5e-05   0.00096   15.5   0.1    51   141    88   168    69   228 0.74 -
29122at4891_2|ptg000011l:738372-739637   -            422 17712at4891          -            341   3.6e-09   33.3   1.5   3   4    0.0017     0.065    9.4   0.0    63   135   236   298   189   305 0.53 -
29122at4891_2|ptg000011l:738372-739637   -            422 17712at4891          -            341   3.6e-09   33.3   1.5   4   4       0.2       7.5    2.7   0.0    15    83   350   419   340   421 0.61 -
17147at4891_9|ptg000005l:321518-322747   -            410 17712at4891          -            341   4.2e-09   33.1   0.2   1   2   6.2e-07   2.3e-05   20.8   0.0    26    91   133   197   127   225 0.86 -
17147at4891_9|ptg000005l:321518-322747   -            410 17712at4891          -            341   4.2e-09   33.1   0.2   2   2    0.0031      0.12    8.6   0.0    51   137   244   321   233   331 0.62 -
13320at4891_1|ptg000009l:374554-375648   -            365 17712at4891          -            341   6.5e-09   32.4   0.3   1   3    0.0088      0.33    7.1   0.0   104   137    33    67    17    76 0.77 -
13320at4891_1|ptg000009l:374554-375648   -            365 17712at4891          -            341   6.5e-09   32.4   0.3   2   3   4.6e-07   1.7e-05   21.2   0.2    26   185    52   209    43   222 0.75 -
13320at4891_1|ptg000009l:374554-375648   -            365 17712at4891          -            341   6.5e-09   32.4   0.3   3   3    0.0075      0.28    7.3   0.0    16    87   271   301   266   331 0.54 -
17077at4891_2|ptg000009l:290638-291492   -            285 17712at4891          -            341   8.1e-09   32.1   0.2   1   3    0.0016     0.059    9.6   0.0    68   136    17    77     1    92 0.47 -
17077at4891_2|ptg000009l:290638-291492   -            285 17712at4891          -            341   8.1e-09   32.1   0.2   2   3   0.00015    0.0057   12.9   0.0    47   138   105   184    95   192 0.68 -
17077at4891_2|ptg000009l:290638-291492   -            285 17712at4891          -            341   8.1e-09   32.1   0.2   3   3     0.018      0.69    6.1   0.0    63   103   223   261   203   283 0.70 -
10313at4891_2|ptg000008l:955426-957003   -            526 17712at4891          -            341   9.7e-09   31.9   4.7   1   4   1.6e-05    0.0006   16.1   0.0    58   140    28   119    22   144 0.68 -
10313at4891_2|ptg000008l:955426-957003   -            526 17712at4891          -            341   9.7e-09   31.9   4.7   2   4      0.24       9.1    2.4   0.1    53   119   182   245   178   268 0.67 -
10313at4891_2|ptg000008l:955426-957003   -            526 17712at4891          -            341   9.7e-09   31.9   4.7   3   4   0.00098     0.037   10.2   0.3    52   135   289   377   267   392 0.69 -
10313at4891_2|ptg000008l:955426-957003   -            526 17712at4891          -            341   9.7e-09   31.9   4.7   4   4      0.39        15    1.7   0.0   106   130   496   520   475   525 0.78 -
5502at4891_2|ptg000011l:62254-66162      -           1303 17712at4891          -            341   1.1e-08   31.7   0.2   1   4       2.3        87   -0.8   0.0   236   287   160   211   150   214 0.73 -
5502at4891_2|ptg000011l:62254-66162      -           1303 17712at4891          -            341   1.1e-08   31.7   0.2   2   4   1.1e-06   4.1e-05   20.0   0.4    47   118   215   283   186   290 0.78 -
5502at4891_2|ptg000011l:62254-66162      -           1303 17712at4891          -            341   1.1e-08   31.7   0.2   3   4    0.0084      0.32    7.2   0.0    46    87   325   366   319   377 0.87 -
5502at4891_2|ptg000011l:62254-66162      -           1303 17712at4891          -            341   1.1e-08   31.7   0.2   4   4       6.7   2.5e+02   -2.4   0.0    57   112  1186  1242  1171  1247 0.69 -
17074at4891_3|ptg000017l:164206-165084   -            293 17712at4891          -            341   1.4e-08   31.4   0.9   1   3   0.00073     0.027   10.7   0.0    50   103     9    59     6   112 0.64 -
17074at4891_3|ptg000017l:164206-165084   -            293 17712at4891          -            341   1.4e-08   31.4   0.9   2   3   0.00014    0.0051   13.1   0.1    25    85   153   209   144   212 0.52 -
17074at4891_3|ptg000017l:164206-165084   -            293 17712at4891          -            341   1.4e-08   31.4   0.9   3   3   6.8e-05    0.0026   14.0   0.0    15    80   182   243   178   254 0.65 -
17785at4891_2|ptg000011l:828275-829651   -            459 17712at4891          -            341   2.4e-08   30.6   6.2   1   4   5.5e-05    0.0021   14.4   0.3    25   103   117   191   108   199 0.73 -
17785at4891_2|ptg000011l:828275-829651   -            459 17712at4891          -            341   2.4e-08   30.6   6.2   2   4      0.37        14    1.8   0.0    14    54   208   250   197   274 0.71 -
17785at4891_2|ptg000011l:828275-829651   -            459 17712at4891          -            341   2.4e-08   30.6   6.2   3   4   5.5e-05    0.0021   14.4   0.1    48   174   280   408   268   430 0.76 -
17785at4891_2|ptg000011l:828275-829651   -            459 17712at4891          -            341   2.4e-08   30.6   6.2   4   4   0.00067     0.025   10.8   0.1    66   133   387   451   369   454 0.74 -
12381at4891_2|ptg000016l:66613-67905     -            431 17712at4891          -            341   3.2e-08   30.2   0.0   1   2     1e-08   3.9e-07   26.6   0.0     9   140    60   188    53   236 0.77 -
